title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/tomadel/1.my-todo-app
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/tomadel/2.portfolio-website
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/tomadel/3.pdf-maker
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/tomadel/4.pdf-invoice-maker
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://github.com/tomadel/5.daily-emails-from-API
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/tomadel/6.Weather-data-API
"Weather Forecast API; A tool that provides real-time weather data and forecasts using an API, helping users plan based on weather conditions.; https://github.com/tomadel/7.Weather-forecast-API  "
"NLP Book Analysis; A program that uses Natural Language Processing (NLP) to analyze books, extract insights, and summarize content.; https://github.com/tomadel/8.NLP-book-analysis  "
Webcam Alert App; An application that monitors webcam activity and sends alerts when any moving object is detected.; https://github.com/tomadel/9.Webcam-alert-app  
Event Scraper; A web scraping tool that monitors websites for new events and sends an email notification when a new event is created.; https://github.com/tomadel/10.Web-scraping-app 
"Hotel Booking and Spa Reservation System; A Python-based application designed to manage hotel bookings and spa reservations using Object-Oriented Programming (OOP) principles. Features include hotel booking, credit card validation, spa reservation, and data management using CSV files.; https://github.com/tomadel/11.Hotel-booking-app-OOP  "
Super Mario Python Code Review; A project focused on reviewing and understanding the code for a Python-based Super Mario game implementation.; https://github.com/tomadel/super-mario-python 
"Student Management System; A PyQt6 and SQLite-based application for managing student records. Features include adding, editing, deleting, and searching for students with a user-friendly GUI.; https://github.com/tomadel/13.SQLite-student-management-system  "
"Student Management System; A PyQt6 and MySQL-based application for managing student records. Features include adding, editing, deleting, and searching for students with a user-friendly GUI.; https://github.com/tomadel/14.MySQL-student-management-syste"
"Web Automation Tool with Selenium; A Python-based automation tool using Selenium to perform tasks like login, form filling, and file downloading on web applications.; https://github.com/tomadel/15.web-automation-tool-with-Selenium  "
"Job Application Form - Flask App; A Flask-based web application for submitting job applications. Features include form submission, SQLite database storage, email confirmation, and flash messages.; https://github.com/tomadel/16.Job-application-form-with-Flask  "
"Job Application Form - Django App; A Django-based web application for submitting job applications. Features include form submission, SQLite database storage, an admin interface, and customizable templates.; https://github.com/tomadel/17.webapp-with-django  "
"Food Order Management Web App with Django; A Django-based web application for managing food orders. Features include database models, class-based views, an admin interface, dynamic templates, and Bootstrap integration.; https://github.com/tomadel/18.food-order-management-django  "
Movie Recommendation Project; A basic project using scikit-learn and IMDb data to provide movie recommendations based on user preferences.; https://deepnote.com/workspace/movie-recommendation-project-f1b62f45-67c9-48f6-a414-09da5d0386a4/project/movie-recommendation-project-09313a27-9e6a-41c1-97ac-6a263b421c07/notebook/158e873b02f8408c9e6e133e85907b2e 
"Invoice PDF Maker; A Python package for generating invoice PDFs, created and uploaded to PyPI. This package is based on the 4th project.; https://pypi.org/project/invoice-pdf-maker/  "
